Ambience (Other factors),Good or Bad?,How to recognize
Clothing (Women),Good,"plain one color, minimal design, collared necks, covered necks"
Clothing (Women),Bad,"too many colors, bold letters, heavy sparkling jewellery, deep necks, exposed shoulders"
Clothing (Men),Good,"plain one color, tie, collared necks"
Clothing(Men),Bad,"too many colors, bold letters, exposed hands, jewellery"
Background,Good,"Plain wall, curtained windows, lighting infront of the person, wooden board"
Background,Bad,"Wall with different colored posters, Big bold letters, dark room, lighting behind the person"
Hair (Women),Good,"no hair on face other than forehead, ponytails, braids"
Hair (Women),Bad,"Hair on face, messy bun, too many contrasting accessories on hair"
Hair (Men),Good,
Hair (Men),Bad,long hair till shoulders
Face (Women),Good,"Plain face where all features can be seen properly, no heavy contrasting makeup"
Face (Women),Bad,"Different colours used for eyeshadow, lipstick, extremely long eyelashes and eyeliners"
Face (Men),Good,
Face (Men),Bad,ear piercings
